name,code,latitude,longitude,type
Andenes,ANX,69.326067,16.134848,PERM
Bergen,BGO,60.398046,5.320487,PERM
Bodø,BOO,67.292330,14.399770,PERM
Hammerfest,HFT,70.664750,23.678690,PERM
Harstad,HAR,68.801261,16.548236,PERM
Heimsjø,HEI,63.425224,9.101504,PERM
Helgeroa,HRO,58.995212,9.856379,PERM
Honningsvåg,HVG,70.980318,25.972697,PERM
Kabelvåg,KAB,68.212639,14.482149,PERM
Kristiansund,KSU,63.113859,7.734352,PERM
Mausund,MSU,63.869331,8.665231,PERM
Måløy,MAY,61.933776,5.113310,PERM
Narvik,NVK,68.428286,17.425759,PERM
Ny-ålesund,NYA,78.928545,11.938015,PERM
Oscarsborg,OSC,59.678073,10.604861,PERM
Oslo,OSL,59.908559,10.734510,PERM
Rørvik,RVK,64.859456,11.230107,PERM
Sandnes,SBG,58.868232,5.746613,PERM
Stavanger,SVG,58.974339,5.730121,PERM
Tregde,TRG,58.006377,7.554759,PERM
Tromsø,TOS,69.646110,18.954790,PERM
Trondheim,TRD,63.436484,10.391669,PERM
Vardø,VAW,70.374978,31.104015,PERM
Viker,VIK,59.036046,10.949769,PERM
Ålesund,AES,62.469414,6.151946,PERM
